Brand,Price,Body.Type,Fuel.Type,Gearbox.Type,Power.hp,Displacement.l,Torque.lbft,Cylinders,Drivetrain,MPG.City,MPG.Highway,Seats,Doors,Height.in,Length.in,Width.in,Wheelbase.in,Clearance.in,Heater,AntiLock.Braking.System,Central.Locking,Power.Steering,Power.Windows,Brake.Assist,Central.Locking.1,Power.Door.Locks,Child.Safety.Locks,Rear.Seat.Belts,Door.Ajar.Warning,Adjustable.Seats,Crash.Sensor,Engine.Check.Warning,Rear.Camera,Anti.Theft.Device,Touch.Screen,Audio.System.Remote.Control,Speakers.Front...back,Bluetooth.Connectivity,USB...Auxiliary.Input,Adjustable.Steering.Column,Height.Adjustable.Driving.Seat,Digital.Clock,Electric.Folding.Rear.View.Mirror,Automatic.Climate.Control,Low.Fuel.Warning.Light,Parking.Sensors,Bottle.Holder,Seat.Belt.Warning,Vehicle.Stability.Control.System,Engine.Immobilizer,Rear.Reading.Lamp
Porsche,188700,Coupe,Petrol,Automatic,631.0,4.0,627.0,8.0,all,15.0,19.0,4.0,4.0,65.1,194.5,78.1,114.0,8.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,171300,SUV,Hybrid,Automatic,670.0,4.0,663.0,8.0,all,42.0,42.0,4.0,4.0,65.9,194.0,78.1,114.0,7.4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,170500,Hatchback,Petrol,Automatic,540.0,3.0,479.0,6.0,rear,16.0,23.0,5.0,4.0,56.4,189.1,74.3,112.5,6.2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,164000,SUV,Petrol,Automatic,523.0,4.4,553.0,8.0,all,16.0,21.0,5.0,4.0,74.0,199.0,81.0,118.0,8.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Porsche,155400,Convertible,Petrol,Automatic,473.0,3.0,420.0,6.0,rear,17.0,23.0,4.0,2.0,50.8,178.5,72.9,96.5,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,154000,SUV,Petrol,Automatic,523.0,4.4,553.0,8.0,all,22.0,28.0,5.0,4.0,74.0,207.0,81.0,126.0,8.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Cadillac,152195,SUV,Petrol,Automatic,682.0,6.2,653.0,8.0,all,11.0,16.0,7.0,5.0,76.4,211.9,81.1,134.1,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Maserati,151500,Sedan,Petrol,Automatic,580.0,3.0,538.0,8.0,rear,13.0,20.0,5.0,4.0,58.3,207.2,76.7,124.8,7.6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
BMW,148090,Coupe,Petrol,Automatic,612.0,4.4,590.0,8.0,all,21.0,24.0,5.0,4.0,56.0,200.4,76.1,119.0,5.3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Land Rover,146230,SUV,Petrol,Automatic,394.0,2.0,407.0,4.0,all,33.0,39.0,7.0,5.0,79.0,201.0,84.0,121.0,12.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
