age,gender,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,days_since_last_login,avg_time_spent,avg_transaction_value,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,Churn
18,F,Village,Platinum Membership,2017-08-17,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,17,300.63,53005.25,781.75,Yes,Yes,No,Not Applicable,Products always in Stock,0
44,F,Town,No Membership,2016-11-11,Yes,CID12313,Gift Vouchers/Coupons,Desktop,Wi-Fi,14,516.16,21027.0,500.69,No,Yes,Yes,Solved in Follow-up,Poor Website,1
37,M,City,No Membership,2016-10-29,Yes,CID3793,Gift Vouchers/Coupons,Desktop,Mobile_Data,11,53.27,25239.56,567.66,No,Yes,Yes,Unsolved,Poor Website,1
31,F,City,No Membership,2017-09-12,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,20,113.13,24483.66,663.06,No,Yes,Yes,Solved,Poor Website,1
13,M,City,Gold Membership,2016-01-08,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,23,433.62,13884.77,722.27,Yes,No,Yes,Unsolved,No reason specified,1
21,M,Town,Gold Membership,2015-03-19,Yes,CID24708,Gift Vouchers/Coupons,Desktop,Mobile_Data,10,55.38,8982.5,756.21,Yes,No,Yes,Solved in Follow-up,No reason specified,1
45,F,Town,No Membership,2016-11-30,No,xxxxxxxx,Gift Vouchers/Coupons,?,Wi-Fi,10,97.31,19244.16,706.23,No,Yes,Yes,No Information Available,Poor Customer Service,1
25,F,Village,Basic Membership,2016-05-22,Yes,CID19275,Gift Vouchers/Coupons,Both,Wi-Fi,14,570.23,35119.93,699.7,Yes,Yes,No,Not Applicable,Poor Product Quality,1
60,M,City,Gold Membership,2016-01-13,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,14,55.53,41672.02,798.12,Yes,No,No,Not Applicable,Too many ads,1
11,M,Town,No Membership,2015-01-31,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,13,41.09,44007.18,608.26,Yes,No,Yes,Unsolved,Poor Customer Service,1
16,F,Town,Basic Membership,2017-07-09,?,CID35062,Credit/Debit Card Offers,Smartphone,Fiber_Optic,-999,30.14,18792.31,1415132013118410.0,Yes,No,Yes,Unsolved,Too many ads,1
11,M,Town,Silver Membership,2017-01-02,Yes,CID22930,Gift Vouchers/Coupons,?,Wi-Fi,12,275.13,29072.86,733.97,Yes,No,No,Not Applicable,Poor Customer Service,1
39,M,Town,No Membership,2017-11-01,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,9,241.74,33170.16,551.11,Yes,No,Yes,No Information Available,No reason specified,1
45,M,City,Premium Membership,2016-02-03,No,xxxxxxxx,Without Offers,?,Mobile_Data,14,31.15,66982.61,1.64800768977389e+16,Yes,No,Yes,Unsolved,Products always in Stock,0
33,M,Village,No Membership,2015-12-03,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,15,49.86,44289.97,703.96,Yes,No,No,Not Applicable,Poor Customer Service,1
30,M,Village,No Membership,2016-07-29,Yes,CID53809,Gift Vouchers/Coupons,Smartphone,Mobile_Data,21,30.37,49404.86,630.61,Yes,No,Yes,No Information Available,Poor Website,1
19,F,Town,Platinum Membership,2017-01-22,No,xxxxxxxx,Gift Vouchers/Coupons,?,Mobile_Data,15,483.03,52702.67,3893564431980520.0,No,Yes,Yes,No Information Available,User Friendly Website,0
48,M,Town,Basic Membership,2017-11-10,Yes,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,12,72.52,15860.41,529.03,No,Yes,No,Not Applicable,No reason specified,0
43,M,City,No Membership,2015-08-14,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,17,108.3,21725.57,2.25004427624127e+16,No,Yes,No,Not Applicable,Poor Website,1
